,Angle
529,0.08882087536754354
530,0.11289938735478891
531,0.1326564542080681
532,0.15254247326189266
533,0.17539252608277356
534,0.19311916519973307
535,0.19311916519973307
536,0.21390876416452012
537,0.23020581524512862
538,0.2454543564094703
539,0.262282493872078
540,0.27531013174394287
541,0.287082495515229
542,0.2993796526315011
543,0.3092027432104015
544,0.31698058107369664
545,0.3237452448185033
546,0.32986322570762516
547,0.33323663672069653
548,0.33527183512122277
549,0.3360027125925979
550,0.33598382970770035
551,0.33598382970770035
552,0.33577219582565726
553,0.33488690317966013
554,0.333319180251646
555,0.3296486280598008
556,0.3243107196403362
557,0.31644192561768814
558,0.3040259842505239
559,0.292288446745322
560,0.2789190340078799
561,0.26163563380819377
562,0.24635146354543663
563,0.22994307819859452
564,0.20893516034263399
565,0.19061409878992122
566,0.19061409878992122
567,0.1679841773307305
568,0.14846218384386298
569,0.12813268262183505
570,0.10793682539857515
571,0.08201230403146555
572,0.06082706477558418
573,0.038447558049867304
574,0.014293188600956283
575,-0.008455481279617753
576,-0.029789288506278124
577,-0.05460563446719029
578,-0.07581758276373042
579,-0.09635162046283147
580,-0.11489811189775978
581,-0.13759181718560276
582,-0.15594517763069662
583,-0.1762440454687265
584,-0.19350417359408995
585,-0.19350417359408995
586,-0.21436805477527876
587,-0.2294971856802586
588,-0.24485230359665264
589,-0.2645825674789709
590,-0.2778794286448667
591,-0.2919349132343271
592,-0.3019958947953994
593,-0.31137104555717665
594,-0.3194509402970043
595,-0.3278099859544066
596,-0.33317834007138986
597,-0.33644363333479277
598,-0.33873769141692733
599,-0.3391341765428238
600,-0.3391114085328038
601,-0.3389493699608268
602,-0.33839119595423295
603,-0.33839119595423295
604,-0.33652957258674
605,-0.33360114820194964
606,-0.3268290486060867
607,-0.3185864370081058
608,-0.3080944084280319
609,-0.29660547846369817
610,-0.280886497873159
611,-0.26655663344335895
612,-0.24921805063943636
613,-0.22883099112356614
614,-0.20846388878190078
615,-0.1905965771943112
616,-0.1905965771943112
617,-0.1677618178592541
618,-0.14746334551169318
619,-0.12757703092239564
620,-0.10862579285675017
621,-0.08480524363988498
622,-0.06396035939284932
623,-0.04269563892160832
624,-0.021698891060414068
625,0.004787985298192341
626,0.025333277901339584
627,0.04657462759954723
628,0.06793469167673158
629,0.09415948017696518
630,0.11411971083001438
631,0.13369834910536224
632,0.15720503546010153
633,0.17644578328941632
634,0.19408737695961334
635,0.19408737695961334
636,0.21478724867495855
637,0.23110868887531336
638,0.24894142031282335
639,0.2631549802994271
640,0.2759556186385357
641,0.2899492517174444
642,0.30004409704831464
643,0.3097988556266809
644,0.31905898803597005
645,0.32564295146137123
646,0.3305305110909528
647,0.3344445510849264
648,0.33622728710035366
649,0.33669752351982835
650,0.33667698444614313
651,0.33667698444614313
652,0.3363864777530832
653,0.3356043072209164
654,0.3340198516151036
655,0.33037620944270185
656,0.32507184680726475
657,0.3154329772338477
658,0.3047994967736193
659,0.2929137778007441
660,0.2796854595287521
661,0.2625239999013372
662,0.24721957002075381
663,0.2307534149923868
664,0.21337028501110475
665,0.19145770576580823
666,0.1728053562092457
667,0.1530051566607482
668,0.1288250726273756
669,0.1288250726273756
670,0.10882405658069796
671,0.08776975588734136
672,0.0659361401221992
673,0.03946965657830592
674,0.019299810184094924
675,-0.0029159559986582954
676,-0.028324984578057807
677,-0.04868745485910718
678,-0.06989520547824303
679,-0.09384545912234561
680,-0.11227946086150384
681,-0.13100038377299766
682,-0.15347967297200665
